Description,Price
"I am looking at a 2012 Hyundai I30 Active, a black hatchback with automatic transmission, 1.8 L, 4 cyl engine, and 125546 km on the clock.",15880
"I am looking at a used 2013 Mazda 6 Sedan. Grey with a black interior, 2.5L 4 cyl engine, front-wheel drive, automatic, with 16,3000 km.",16995
"I am looking at a 2008 Toyota Kluger KX-S, a blue SUV with an automatic transmission, 3.5L engine, and 132864 km on the odometer.",19880
"I am looking at a used 2018 Hyundai Santa FE Highlander Crdi. It features a 2.2L diesel engine, automatic, and AWD. It's clocked 71655 km.",43999
"I have a 2012 BMW X3 X3 Xdrive, white with a black interior. It's an automatic with a 2L diesel engine, and has clocked 109459 km.",18888
"I am looking at a used 2016 Holden Cascada Convertible. It features a black interior, automatic transmission, 1.6 L, 4 cyl engine, and has covered 65361 km.",24995
"I am looking at a 2006 Mercedes-Benz ML320 CDI, silver, used. It comes with a diesel 3-liter, 4-cylinder engine, automatic, and 229,353 km.",9998
"I have a 2009 Mitsubishi Lancer ES, a red hatchback with automatic transmission, 2 L, 4 cyl engine, and 16,3012 km on the odometer.",9990
"I have a 2014 Audi A5 2.0 Tfsi Quattro, white coupe with a black interior. It's an automatic with a 2L 4-cylinder engine, AWD, and has clocked 82119 km.",27380
"I am looking at a red Kia GT-Line, a hatchback with a black interior. It's an automatic with a 1 L, 3 cyl engine, and has clocked 42071 km.",24999
"I have a 2015 Jeep Cherokee Longitude, a red SUV with an automatic transmission. It's a 4-cylinder, 3.2L engine, and has clocked 85958 km.",17999
"I have a 2011 Volkswagen Tiguan 132 TSI, a black SUV with an automatic transmission. It's equipped with a 2L engine and has covered 118642 km.",12990
"I have a 2012 Mitsubishi ASX, a blue SUV with an automatic transmission. It's a front-wheel drive with 187265 km on the odometer.",13990
"I am looking at a used 2016 BMW 220I M-Sport, automatic, rear-wheel drive, 2L 4 cyl, grey exterior, black interior. It's a used model with 118120 km.",28990
"I am looking at a used 2022 Hyundai Tucson SUV, white with a black interior. It's got a 2L 4-cylinder engine, automatic, and has covered 5 seats.",36800
"I am looking at a used 2011 Mazda 3 NEO, grey with grey interior. It features a 4 cyl 2L engine, automatic, and has covered 86804 km.",13999
"I have a 2023 Volkswagen Tiguan Alto, a used Volkswagen, 4-door SUV with a grey interior. It's an automatic with a 2L engine, and has a 2L, 4-cylinder engine, and has clocked 7 seats.",56887
"I am looking at a 2014 Hyundai Imax Wagon, white, diesel, automatic, rear-wheel drive, 2.5L 4 cyl engine, white with grey interior, used with 183550 km.",19888
"2014 Toyota Yaris YR is on offer. It's a hatchback with an automatic transmission, 1.3 L, 4 cyl engine, and 5 doors, 5 seats.",8995
"I have a 2016 Toyota Kluger Grande, a grey SUV with a black interior. It's an automatic with a 3.5L engine, and has 139637 km on the odometer.",31900
"There is a used 2013 Mitsubishi Lancer LX in grey, featuring a black interior. It's an automatic with a 2 L, 4 cyl engine, and has done 16,5306 km.",14995
"I am looking at a used 2016 Subaru XV 2.0I-L SUV, grey with a black interior. It's got a 2L 4-cylinder engine, automatic, and has covered just 104887 km.",22990
"There's a used 2017 Mini Cooper S5D hatchback, yellow exterior and interior, 4 cyl 2L engine, front-wheel drive, automatic, with 72501 km on it.",31990
"I have a 2015 Peugeot 308 T9 Allure Touring, white with white interior, used. It's an automatic with unspecified engine size, with 167127 km.",12999
"There is a used 2010 Holden Commodore SS-V in black, featuring a 6 L, 8 cyl engine, rear drive, with 169220 km on it.",25999
"I am looking at a 2015 Hyundai I20 Active, a silver hatchback with grey interior. It's an automatic with a 1.4 L, 4 cyl engine, and has 111783 km.",13990
"I have a 2018 Mazda BT-50 XTR, a white 2018 Mazda BT-50 XTR, used. It's a diesel, automatic, with a 3.2L engine, and has clocked 97460 km.",30990
"I have a 2009 Mazda 3 Maxx, a black Mazda, used. It's an automatic with a 2 L, 4-cylinder engine, and has 178389 km on the odometer.",8499
"I have a 2011 Hyundai I20 Active, a hatchback in blue with an automatic transmission. It's an automatic with a 1.4 L, 4 cyl engine, and has 188262 km on the odometer.",10995
"I am looking at a used 2010 Mazda CX-7 luxury sports. It features a 2.3L 4-cylinder engine, automatic, and AWD. It's clocked 152831 kilometers.",11669
"I have a 2017 Jeep Renegade Limited, a sleek grey SUV. It's an automatic with a 1.4 L, 4 cyl engine, and has 69218 km on the odometer.",24950
"I have a 2013 Mazda 6 Sport, a sleek white exterior, 2.5L 4 cyl engine, front-wheel drive, automatic, and 124093 kilometers on it.",16990
"I have a 2009 Nissan Elgrand Highway Star, white with brown interior, used. It's an automatic, rear-wheel drive, and has a mileage of 103090 km.",19995
"I am looking at a 2013 Kia Grand Wagon SLI, white, 3.5L 6 cyl, automatic, front-wheel drive, white with 98672 km.",13995
"I am looking at a used 2015 Mitsubishi Lancer ES Sport in grey. It features a black interior, 2L 4 cyl engine, automatic, and has covered 61481 km.",17995
"I am looking at a 2018 Subaru Impreza 2.0I, grey with grey interior. It's a 4-cylinder, 2 L engine, 5-door hatchback, and has clocked 61177 km.",22990
"I am looking at a 2014 Mazda 3 NEO, a red hatchback with black interior. It's an automatic with a 2 L, 4 cyl engine, and has done 132648 km.",16999
"A 2021 BMW X4 Xdrive20I M Sport SUV, grey with grey interior, 2.0L 4 cyl engine, AWD, and 31367 km on the odometer.",79988
"I am looking at a used 2010 Mazda CX-7 luxury sports. It features a 2.3L 4-cylinder engine, automatic, and AWD. It's clocked 174818 km.",12800
"There's a used 2015 Audi A5 2.0 Tfsi Quattro Coupe in the lot, grey exterior, black interior, 2L 4 cyl engine, automatic, with 115334 km on it.",26880
"2014 BMW 118I hatchback, white exterior, black interior, automatic transmission, 1.6 L, 4 cyl engine, rear drive, with 55,676 km on it.",16990
"I am looking at a 2012 Mercedes-Benz C-CLASS W204 BlueEFFICIENCY, black, used. It comes with an automatic gearbox and has traveled 162775 km.",16999
"I am looking at a 2007 Subaru Impreza WRX STI, black, used. It comes with an automatic gearbox and has traveled 146077 km. Engine details are not specified.",34888
"I have a 2014 Audi Q7 4.2 TDI Quattro, black with a black interior. It's an automatic with a 4.1L diesel engine, AWD, and has clocked 8 cyl engine.",28999
"I am looking at a 2015 Suzuki Celerio, blue, cyl 1L engine, front-wheel drive, automatic, and 23316 km on the odometer.",13880
"There's a used 2016 Subaru Liberty 3.6R in white available. It's an automatic with a 3.6 L, 4 cyl engine, AWD, and has done 226127 km.",17950
"I am looking at a used 2019 Toyota C-HR. It features a 1.2L 4-cylinder engine, automatic, and has clocked 58185 km. The engine's specifications are not listed.",33888
"I have a 2021 Subaru Forester 2.5I, a used SUV with an automatic transmission. It's equipped with a 2.5L engine and has clocked 16136 km.",39990
"A 2015 Mazda CX-3 S Touring, white, with a black interior, 2L 4 cyl engine, AWD, and 31531 km on the odometer.",23950
"It's a 2018 Jeep Grand Cherokee Limited, white with a black interior. Equipped with a 3 L, 4-cylinder diesel engine, automatic, and 76472 km on the clock.",41950
"I am looking at a 2018 Hyundai I30 Active, a silver hatchback with black interior. It's an automatic with a 2 L, 4-cylinder engine, and has 62719 km on the odometer.",21999
"I am looking at a used 2020 Nissan X-Trail ST, grey exterior. It features a 2.5L 4-cylinder engine, automatic, and has clocked 52035 km.",27990
"I have a 2010 Honda City VTI, a black Honda City VTI, used. It's an automatic with a 1.5 L, 4 cyl engine, and has 146445 km.",8950
"I have a 2020 Honda CR-V VTI-L7, a grey SUV with black interior. It's an automatic with a 1.5L engine, and has 35214 km on the odometer.",37880
"2014 Holden Cruze SRI is on offer. It's a hatchback with an automatic transmission, 1.6 L, 4 cyl engine, and 16,3000 km on the clock.",7950
"I have a 2013 Jeep Grand Cherokee Laredo, a grey SUV with a black interior. It's an automatic with a 3.6L engine, rear drive, and has clocked 69001 km.",24990
"I am looking at a used 2007 Toyota RAV4 SUV, silver with a grey interior. It's got a 2.4L engine, automatic transmission, and has covered just 106718 km.",14999
"I am looking at a used 2016 Holden Commodore Evoke. Red with a black interior, 3 L, 4 cyl engine, rear drive, automatic, with 55,676 km.",22999
"I am looking at a 2010 Mercedes-Benz CLC200 Kompressor Evolution, a silver coupe with an automatic transmission, rear drive, and 177834 km on the odometer.",7999
"I have a 2012 Dodge Journey, JC SXT Wagon, white with white interior. It's an automatic, unspecified engine size, with 147589 km.",10999
"There is a used 2013 Mazda 6 Atenza in white, featuring a black interior. It's an automatic with a 2.5 L, 4 cyl engine, and has done 105767 km.",19999
"There is a used 2018 Volkswagen Caddy Maxi VAN TSI220 in white, a 4-door commercial model. It has an automatic transmission, 1.4 L, 4 cyl engine, and only 87293 kilometers.",30999
"I am looking at a used 2013 Honda Civic VTI-L, a silver sedan. It features a 1.8 L, 4 cyl engine, automatic, and has 154347 km.",15990
"I am looking at a 2021 Jeep Compass Launch Edition, white with a black interior. It's got a 2.4L engine, automatic transmission, and has covered 20827 km.",32888
"I am looking at a 2008 Toyota HiAce Nippon Motors, a white SUV with black interior. It's an automatic, unspecified engine size, with 112980 km.",31900
"I am looking at a 2010 Toyota Yaris YR, a white hatchback with automatic transmission, 1.3-liter 4-cylinder engine, and 147626 kilometers driven.",10995
"I have a 2014 Jeep Grand Cherokee Overland, grey with a black interior. It's a 4-door SUV with an automatic transmission and a 3 L, 6 cyl engine.",29990
"I am looking at a red Mazda 3 SP25, a hatchback with a black interior. It's an automatic with a 2.5 L, 4 cyl engine, and has 15,3020 km.",13950
"Check out this 2016 Ford Ranger XLT 3.2L diesel engine, automatic, with a mileage of 3.2L 4WD. It's a 5-door SUV with 5 seats.",36999
"I have a 2011 Holden Captiva CG 7 LX Wagon, white with a white interior. It's an automatic, with 183924 km, and has a 2.2D, 4-cylinder engine.",9990
"I am looking at a used 2013 Toyota 86 GTS. This orange coupe features a 4-cylinder, 2 L engine, automatic, rear-wheel drive, and has 103706 kilometers on it.",24990
"I am selling a 2013 Volkswagen Golf 103 TSI Highline, a gold hatchback with black interior. It has an automatic gearbox, 1.4 L, 4 cyl engine, and 126532 km.",13990
"I am looking at a used 2013 Mitsubishi Lancer LX Sportback, grey with a black interior. It's a hatchback with an automatic transmission, 2 L, 4 cyl engine, and 73421 km on the clock.",16990
"I am looking at a 2009 Toyota Camry Ateva, a white SUV with black interior. It's got a 2.4 L, 4 cyl engine, automatic, and has covered 15,5135 km.",10995
"I am looking at a used 2013 Hyundai I20 Active. Grey hatchback, black interior, automatic transmission, 1.4 L, 4 cyl engine, with 123330 km.",12990
"2014 Mitsubishi Lancer GSR Sportback, silver exterior, black interior, equipped with a 2.4 L engine and automatic transmission, front-wheel drive, and 44249 km on the odometer.",18990
"I am looking at a used 2018 Mazda 2 Maxx 2 hatchback, silver with a black interior. It's an automatic with a 1.5 L, 4 cyl engine, and has done 27100 km.",23999
"I am looking at a 2009 Mazda 3 Maxx Sport, automatic, 5-door hatchback, 2 L engine, white with a grey interior, and 70661 km on the odometer.",14995
"I have a 2014 Mitsubishi Triton GLX, a white 2014 Mitsubishi Triton GLX, used. It's an automatic with a 2.5L diesel engine, 4 cyl engine, and has clocked 215100 km.",18995
"2014 Volkswagen Golf 90 TSI Comfortline is available. It's a hatchback with an automatic transmission, 1.4 L, 4 cyl engine, and 155036 km on the clock.",14990
"I am looking at a 2012 BMW M135I. Grey has clocked 6 cyl 3 L engine, rear-wheel drive, automatic, and has covered 67678 km.",29950
"There is a used 2015 Holden Commodore SV6 Wagon in white, featuring a 3.6 L, 6 cyl engine, automatic, rear drive, with 133934 km on it.",22999
"I am looking at a 2008 Volkswagen Golf GTI, a silver hatchback with automatic transmission, 2 L, 4-cylinder engine, and 174915 kilometers on the odometer.",14990
"It's a 2014 Holden Cruze Equipe, silver, with a 1.8 L, 4 cyl engine, front-wheel drive, automatic, with 117000 km on it.",7888
"I am looking at a used 2018 Hyundai Imax Wagon, grey with grey interior. It features a 2.5L 4-cylinder diesel engine, automatic, and has traveled 8 km. The engine's specifications are not listed.",27990
"I am looking at a used 2013 Mitsubishi Triton GLX, white, diesel. It features a 2.5L 4-cylinder engine, automatic, and has covered 231675 km.",19800
"I have a 2021 BMW 330I M Sport, 2L 4 cyl, automatic, rear-wheel drive, black color, used with 23332 km driven.",67988
"I have a 2018 Volkswagen Golf 110 TSI Comfortline, a white 2018 Volkswagen Golf 110 TSI Comfortline, black interior. It's an automatic with a 1.4 L, 4 cyl engine, and has 130647 km on the odometer.",21880
"I have a 2019 Audi Q3 35 Tfsi S Tronic, white with a black interior. It's an automatic with a 1.4 L, 4 cyl engine, and has clocked 47307 km.",41888
"I am looking at a black 2005 Nissan Elgrand Highway Star, used. It comes with an automatic gearbox and has traveled 69619 km. Engine details are unspecified if they are not listed.",17900
"I am looking at a 2009 Toyota Estima X, silver, used. It comes with an automatic gearbox and has traveled 128647 km. Engine details are not specified.",18900
"I am looking at a used 2016 Subaru Outback 2.5I Premium. Silver with a black interior, 2.5L 4 cyl engine, automatic, and AWD. It's clocked 74983 km.",29990
"I have a 2007 Mazda 6 Classic Sports, 2.3L 4-cyl, automatic, 5-door hatchback, grey interior, and 102496 km on the odometer.",7920
"I have a 2015 Hyundai Accent Active, a hatchback in silver with a black interior. It's an automatic with a 1.6 L, 4 cyl engine, and has clocked 84924 km.",14999
"I have a 2013 Land Rover Discovery 4 3.0 TDV6, white with a black interior. It's a 4-door SUV with an automatic transmission, 3 L, 6 cyl engine, 5 seats.",38950
"I have a 2013 Ford Focus Ambiente, a sleek silver hatchback. It's an automatic with a 1.6 L, 4 cyl engine, and has 67590 km on the odometer.",12990
"A 2017 Kia Sportage GT-Line is available, white with a black interior. This 4-door SUV features an automatic gearbox, 2.4L engine, and has 65502 km.",29990
"I have a 2010 Porsche Cayenne S, a white SUV with black interior. It's an automatic with a 4.8L engine, AWD, and has 193271 km on the odometer.",29990
"I have a 2016 Porsche Cayman GT4, a white 2016 coupe with a black interior. It's a 6-cylinder, 3.8 L engine, rear-wheel drive, and has 23481 km on the odometer.",214880
"A 2007 Ford Territory SR (4X4) is available, white with a black interior. This 4-door SUV has an automatic transmission, AWD, and has covered 173839 km.",8950
"A 2017 Suzuki Swift Alto Volkswagen Used Cars, yellow with a black interior, used. It's a hatchback with an automatic transmission and 55,679 km on the clock.",26280
"There is a used 2016 Nissan Navara SL in white, diesel-powered. It's an automatic with a 2.3L engine, 4 cyl engine, and has done 258936 km.",21290
"I am looking at a used 2013 Toyota RAV4 cruiser, grey with a black interior. It features a 2.2L diesel engine, automatic transmission, and AWD. It's done 292134 kilometers.",14995
"I am looking at a 2008 Toyota Hilux SR5 (4X4), white with grey interior. It's a 4-cylinder, 3 L diesel, automatic, with 251000 km.",21290
"2014 Mazda 3 Maxx hatchback, brown exterior, black interior, automatic transmission, 2 L, 4 cyl engine, with 130242 km on the odometer.",16388
"It's a 2021 Hyundai Venue Elite, white with grey interior, used. Features include an automatic transmission, 1.6 L, 4 cyl engine, and 35024 km on the clock.",26990
"I have a 2015 BMW X1 Xdrive 20D, white with white interior. It's a 4-cylinder, 2L diesel, automatic, with 44145 km.",32000
"I have a 2021 BMW 330I M Sport, 2L 4 cyl, automatic, rear-wheel drive, black color, used with 2L 29567 km driven.",67988
"I am looking at a black 2007 Mazda 6 Classic Sports. It's a hatchback with an automatic transmission, 2.3 L, 4 cyl engine, and 229,898 km.",7600
"I have a 2013 Hyundai Veloster + used, white hatchback. It's an automatic with a 1.6 L, 4 cyl engine, and has 155244 km on the odometer.",17990
"There's a used 2017 Toyota Camry Altise in grey, featuring an automatic gearbox, a 2.5L engine, and a stylish interior. It's done only 149988 kilometers.",19950
"I am looking at a red Mitsubishi Lancer ES Sportback. It's a used model, with a 2-liter, 4-cylinder engine, front-wheel drive, and has traveled 205373 kilometers.",9990
"I am looking at a 2020 BMW M4 Competition, white with a black interior. It's a used model, with a 3 L, 4-cylinder engine, rear drive, and has covered 2858 km.",129988
"I have a 2011 Suzuki Swift GL, a grey hatchback with black interior. It's an automatic with a 1.4 L, 4 cyl engine, and has clocked only 5 doors.",7999
"I have a 2008 Ford Transit, a white commercial vehicle with a 2.4 L, 4 cyl engine and rear drive. It's an automatic with 3 doors, 3 seats.",9995
"I am looking at a 2009 Toyota Estima X, black, used. It comes with an automatic gearbox and has traveled 16,5589 km. Engine details are not specified.",19900
"I have a 2017 Peugeot 308 Active, a sleek hatchback. It's an automatic with a 1.2 L, 3 cyl engine, and has 55,717 km.",16990
"There is a used 2017 Holden Trax LT in blue, a 4-door SUV with an automatic transmission. It's a front-wheel drive with 83147 km on the clock.",17888
"I have a 2015 Mitsubishi Triton GLX, a white 2015 Mitsubishi Triton GLX, used. It's an automatic with a 2.5L diesel engine, and has clocked 5 doors, 5 seats.",18995
"I have a 2013 Subaru Forester 2.0I, a red SUV with a black interior. It's an automatic with a 2L engine, AWD, and has 122077 km on the odometer.",16857
"I have a 2015 Mazda CX-3 S Touring, blue hatchback, black interior, 2L 4 cyl engine, automatic, with 60581 km on the odometer.",22990
"I am looking at a used 2010 Nissan Navara RX, white, diesel. It features a 2.5L 4-cylinder engine, automatic, and has covered 229,888 km.",13950
"There is a used 2017 Holden Captiva, grey with a 2.4L engine and automatic transmission. It's a front-wheel drive with 186954 km on the odometer.",12990
"There's a used 2017 Kia Cerato S Premium in red available. It's a 4-cylinder, 2 L engine, red hatchback, automatic, with 21350 km on the odometer.",22990
"I am looking at a 2016 Audi RS3 Sportback, white with a black interior. It's a used model, with a 2.5 L, 5 cyl engine, and has covered 47926 km.",59990
"It's a 2014 Mitsubishi Triton GL, white, diesel. Automatic transmission, 2.5 L, 4-cylinder engine, and it's done 229,861 kilometers.",21880
"I am looking at a used 2007 Jeep Grand Cherokee Laredo. It features a 3 L, 4-cylinder diesel engine, automatic, and has covered 9 cyl.",10990
"There's a used 2018 Mercedes-Benz C200 Sedan in blue available. It's an automatic with a 2 L, 4-cylinder engine, rear drive, and has done 72540 kilometers.",39990
"I am looking at a 2020 Toyota Corolla ZR Hybrid, blue, 1.8 L 4-cyl, automatic, 5-door hatchback, 87043 km.",39990
"I have a 2012 Ford Ranger XLT 3.2L diesel engine, white with grey interior, used. It's a 5-cylinder, 3.2L diesel, automatic, with 254121 km.",21990
"I am looking at a 2008 Honda Civic Type R, a silver hatchback. It features a 2 L, 4-cylinder engine, automatic, and has covered 165450 km.",18990
"It's a 2022 Honda CR-V VTI X, white with a black interior, used. Features include an automatic transmission, 1.5L engine, and only 15087 km on the clock.",39990
"There is a used 2013 Nissan Navara ST in white, diesel-powered. It's an automatic with a 2.5 L, 4 cyl engine, 5 seats, 5 seats.",21990
"I am looking at a used 2017 Hyundai Tucson Highlander. It features a 2L diesel engine, automatic, and AWD. It's clocked 97295 km.",31990
"I am looking at a red Mazda CX-5 Akera, a used SUV with an efficient 2.5L engine and automatic transmission. It's a 4-cylinder engine, with 83095 kilometers.",26990
"I have a 2015 Toyota HiAce GL, white with black interior. It's an automatic, rear-wheel drive, and has 16,7379 km on the odometer.",32900
"I have a 2017 D-MAX LS-M HI-Ride, white with white interior. It's a 4-cylinder, 3 L diesel, automatic, with 5 seats.",28999
"A 2014 Mercedes-Benz A200 CDI BE used, with a sleek blue exterior. It's an automatic, front-wheel drive, and has clocked only 105663 km.",22500
"I have a 2007 Toyota HiAce LWB commercial, 4-door with a 2.7 L, 4-cylinder engine, rear drive, in white. It's an automatic with just 222603 km.",17990
"I am looking at a 2020 Ford Puma SUV, blue with a blue interior. It's got a 1 L, 3 cyl engine, automatic, and has covered 229,830 km.",27800
"I have a 2022 Mazda 2 G15 Evolve, grey hatchback with a grey interior. It's an automatic with a 1.5L engine, front-wheel drive, and has clocked 11824 km.",29990
"I am looking at a 2007 Toyota Corolla Ascent, a silver hatchback with automatic transmission, 1.8 L, 4 cyl engine, and 250318 km on the clock.",10990
"I have a 2016 Jeep Grand Cherokee Laredo, white with a black interior. It's an automatic with a 3.6L engine, and has 39967 km on the odometer.",34800
"I have a 2020 Hyundai Tucson Active, a blue SUV with grey interior. It's an automatic with a 2L 4-cylinder engine, and has 38341 km on the odometer.",28984
"I have a 2020 Toyota Camry Ascent Sport, a sleek silver exterior, black interior. It's an automatic with a 2.5 L, 4 cyl engine, and has 7528 km on the odometer.",32990
"There is a used 2018 Honda City VTI in silver, featuring a black interior. It's an automatic with a 1.5 L, 4 cyl engine, and has done 94385 km.",19999
"I have a 2018 Toyota C-HR Koba, red with a grey interior. It's a 4-cylinder, 1.2L engine, automatic, with 110047 km on the odometer.",29990
"I am looking at a 2012 Kia Sorento Platinum, a silver SUV with a black interior. It's got a 2.2L diesel engine, automatic, and has covered 7 seats.",16990
